wRC+
117.7
117.3
116.8
115.7
115.4
115.3
112.1
110.9
108.6
107.9
105.4
104.6
103.2
102.9
101
100.8
100.4
100.1
100.1
100.1
99.6
99.6
99.5
98.5
98
97.8
97.6
95.8
95.6
95.6
95.4
92.1
89.8
89.3
88.7
88.4
83.6
79
76
